
## output/constellation_lines_simplified_by_RA_Dec.dat

# -------------------------------------------------
# Copyright 2015-2019 Dominic Ford
#
# This file defines stick figures which can be used to depict the 88
# astronomical constellations.
#
# This data is free software: you can redistribute it and/or modify it under
# the terms of the GNU General Public License as published by the Free Software
# Foundation, either version 3 of the License, or (at your option) any later
# version.
#
# This data is distributed in the hope that it will be useful, but WITHOUT ANY
# WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR
# A PARTICULAR PURPOSE.  See the GNU General Public License for more details.
#
# You should have received a copy of the GNU General Public License along with
# Pi Gazing.  If not, see <http://www.gnu.org/licenses/>.
# -------------------------------------------------
#
# INSTRUCTIONS
# ------------
#
# There is no defined standard shared between planetarium programs for which
# stars should be connected in order to construct stick figures. However, the
# idea of drawing such stick figures was popularised by H.A. Rey in his 1952
# children's book "The Stars: A New Way To See Them". Most planetarium programs
# use some simplifications of the figures which appear in Rey's book.
#
# This file lists some simplified stick figures, invented by the author
# (Dominic Ford). They are similar to those used in many planetarium programs,
# but considerably simpler than those which appear in Rey's book. Specifically,
# some of Rey's stick figures include connections to very faint stars (mag
# 5-6), whereas the figures below mostly only include stars of fourth magnitude
# or brighter, except in the faintest constellations.
#
# If you'd prefer to use H.A. Rey's more complicated stick figures, you can
# find these in an alternative file in my GitHub repository:
# <https://github.com/dcf21/constellation-stick-figures>.
#
###
## Each line of this file lists a pair of stars, referenced by their right
## ascensions (col 2 and 4) and declinations (col 3 and 5). To construct stick
## figures, draw a line between each of the pairs of stars defined on the lines
## of this file.
#
# In my GitHub repository,
# <https://github.com/dcf21/constellation-stick-figures>, you can find the same
# stick figures defined in a range of other data formats.


CanisMajor           111.020833   -29.303056   109.145833   -27.881111 
CanisMajor           109.145833   -27.881111   107.095833   -26.393333 
CanisMajor           107.095833   -26.393333   104.654167   -28.972222 
CanisMajor           107.095833   -26.393333   105.754167   -23.833333 
CanisMajor           105.754167   -23.833333   101.283333   -16.716111 
CanisMajor           101.283333   -16.716111    95.675000   -17.955833 

CanisMinor           114.825000     5.225000   111.787500     8.289444 

Capricornus          304.512500   -12.544722   305.250000   -14.781389 
Capricornus          305.250000   -14.781389   311.520833   -25.270833 
Capricornus          311.520833   -25.270833   312.954167   -26.919167 
Capricornus          312.954167   -26.919167   321.666667   -22.411389 
Capricornus          321.666667   -22.411389   326.758333   -16.127222 
Capricornus          326.758333   -16.127222   320.558333   -16.834444 
Capricornus          320.558333   -16.834444   316.483333   -17.232778 
Capricornus          316.483333   -17.232778   305.250000   -14.781389 

Carina                95.987500   -52.695833   119.191667   -52.982222 
Carina               119.191667   -52.982222   125.625000   -59.509722 
Carina               125.625000   -59.509722   139.270833   -59.275278 
Carina               139.270833   -59.275278   154.270833   -61.332222 
Carina               154.270833   -61.332222   160.737500   -64.394444 
Carina               160.737500   -64.394444   153.433333   -70.038056 
Carina               153.433333   -70.038056   138.300000   -69.717222 
Carina               138.300000   -69.717222   146.775000   -65.071944 

Cassiopeia            28.595833    63.670000    21.454167    60.235278 
Cassiopeia            21.454167    60.235278    14.175000    60.716667 
Cassiopeia            14.175000    60.716667    10.125000    56.537222 
Cassiopeia            10.125000    56.537222     2.291667    59.149722 

Centaurus            173.941667   -63.019722   170.250000   -54.491111 
Centaurus            170.250000   -54.491111   182.912500   -52.368611 
